system:index,Bugesera,Burera,Gakenke,Gasabo,Gatsibo,Gicumbi,Gisagara,Huye,Kamonyi,Karongi,Kayonza,Kicukiro,Kirehe,Muhanga,Musanze,Ngoma,Ngororero,Nyabihu,Nyagatare,Nyamagabe,Nyamasheke,Nyanza,Nyarugenge,Nyaruguru,Rubavu,Ruhango,Rulindo,Rusizi,Rutsiro,Rwamagana,date,.geo
2021_12_11,15166.653696660402,14759.645276667372,14891.082628923406,15117.040128101606,15024.57572056969,14946.554760621904,15005.984598555033,14967.34382060079,15060.399686018849,14836.87662572331,15124.613968384676,15245.43349075635,15086.572404258835,14928.002281889398,14763.994574947114,14970.70988894572,14732.5945231438,14699.530474112784,15097.45198105302,14804.011753303166,14822.418364347688,15008.60829242396,15122.58114173822,14877.69940056304,14853.351522326211,15096.2683253169,14994.483480847884,14904.39896991548,14754.640858364257,15030.16698146573,2021-12-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_12_19,15120.401605201665,,,,14932.76775756643,,14922.49662949505,14969.21706864564,15002.638627975335,14768.471507573937,14906.048854869816,,15026.046838296725,14871.60486041036,,14710.79925650558,14734.414487551983,14408.0,15087.727167987074,,,15011.488128182427,15095.0,,14967.885044779781,15084.670364380652,,,14643.259647188532,,2021-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_12_27,15038.941802450085,,14925.633333333333,14999.163321518556,14915.517376795473,14956.290494058783,14997.660903003383,14950.239582375976,14947.492462311558,14796.350606281329,14999.52484267825,,15010.481072750648,15023.30106100796,,14920.51126158749,14840.1009863479,,14983.810787492293,14824.627859703589,14704.315120344418,15013.881298035869,14992.983120909405,14782.44510421716,,,14950.857646659888,14841.538164282578,14723.910805137506,14984.023065298657,2021-12-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_01_01,14918.11231602216,14803.575713002554,14837.416624359112,15043.221748032212,14866.291396633469,14929.52751452515,14989.629166883888,14933.87077979678,14943.927121060451,14718.998691243944,14932.357305482894,15027.121533981066,14987.181015788727,14868.95540928166,14684.772555658052,14910.715737598373,14744.62899778158,14632.39779557517,14894.056595601227,14691.214647486026,14694.023176075772,14929.178503271145,14986.364116094981,14725.370179210358,14712.776475360539,14929.561607426951,14937.998835573248,14642.675950198278,14617.659327751699,14950.393516162809,2022-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_01_09,15227.843381914983,14990.219896231181,15044.564697136959,15353.503389599158,15099.66119027907,15083.864973349702,15134.520706490854,15185.468556798014,15230.18080667594,14893.207040495236,15236.777739243355,15321.623354455545,15227.329489639882,15164.599003593104,14902.552992589772,15082.257703119074,15041.094029773207,14905.83233848315,15188.754749490761,14917.47479230722,14898.751050074512,15167.607121036674,15200.770816741886,14991.93088971921,15098.319168495342,15230.303704119638,15172.058925154506,14929.254349072438,14855.302497379502,15261.666066214228,2022-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_01_17,14902.32252064527,14684.941407057497,14768.604660058367,14903.510482046031,14844.423140897621,14792.826189868681,14846.050421134993,14827.119414125778,14942.552602278922,14800.282237720723,14900.386559954002,14928.85281014393,14845.958950501745,14848.53913308428,14664.502654568943,14832.150889001328,14709.32903314703,14657.010441245875,15038.336500136265,14713.064097222232,14796.38095717783,14900.219237574398,14899.894659598058,14582.70994730669,14730.23554342591,14929.055210313094,14752.42930339515,14754.708149009975,14755.285048039827,14896.775700628605,2022-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_01_25,15010.730653492157,14855.196392111658,14877.545086885028,15130.035188134127,15056.760278666898,14984.861928938768,15033.800893182968,14966.176912531582,15013.302399905304,14850.672221981553,15080.257185207927,15069.033179788164,15087.330200234426,14952.1408858963,14823.881603170144,14993.675560798583,14842.441460838243,14684.718759728994,15101.104073846764,14828.66751259042,14820.699194781551,15002.573924832848,15027.757691059787,14819.32709139811,14866.516926314951,15021.849951023512,14980.393534132661,14817.597808524539,14742.806566401925,15051.02033698002,2022-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_02_02,15015.067301706844,14851.793215512907,14918.646377792444,15060.529605532558,14991.266433461653,14919.083548003331,14994.175140587187,14922.799549162586,14995.108194004672,14849.269607629874,15013.544178937744,15068.702808240012,15081.003704253959,14920.494012500374,14855.263462748437,15013.928511217595,14883.235799234259,14842.68892241339,15058.532163182255,14778.52236760351,14709.545240482756,14955.122497826784,15022.59794118515,14806.420499702848,14827.227482785705,14948.461842307097,14932.209758682875,14636.026786564797,14727.883887535689,15030.811872895309,2022-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_02_10,14953.175646948266,14759.561925007813,14805.886493623217,15001.794276354693,14939.071356756678,14829.938390490204,15007.005635972919,14914.183625880327,14926.193649572398,14779.31791313388,14991.082589137193,15059.219491664144,14996.39717671201,14861.16662942721,14695.878109768684,14892.98444352392,14784.43901385661,14658.622625573433,14998.27887875927,14766.81941169482,14776.610969967634,14970.79471886509,14978.177506415363,14784.479056442775,14768.585926105976,14956.852577660475,14849.442933248894,14820.006557925559,14641.857386577789,14921.107273284984,2022-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_02_18,14799.685049112606,14685.121048200364,14724.67762060721,14851.974209879478,14822.069567395576,14720.395656553335,14818.489716005102,14841.15184929934,14794.774577148883,14681.110804042915,14851.273354939558,14891.7712986827,14896.704029157063,14743.513997969761,14453.00219298246,14818.950057689131,14658.09189294084,14521.182814211927,14865.94828746527,14664.771909728723,14750.223087875347,14781.355677338932,14777.071641547194,14708.363687705707,14734.367051864834,14806.717266745532,14739.35373620152,14858.875568122507,14633.618912096428,14792.138516681462,2022-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_02_26,15039.230333137977,14890.389127092807,14935.715216100923,15077.059511351748,15011.39370542963,14939.66873062116,15090.108363598449,15043.428491747754,15072.327529369983,14898.717580760114,14976.360498760958,15121.564921551675,15053.879760312993,14957.858624958477,14885.687646730019,14966.102924887653,14896.19463989885,14766.338829833574,15127.178471150315,14861.865140185908,14874.517023788776,15032.674968142128,15054.56475828098,14881.784393151052,14852.405444746042,15041.38871731522,14950.943704142177,14910.775957116672,14807.992050674065,15009.960880714576,2022-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_03_06,15088.450809691387,14788.658659542067,14865.469382986656,15055.178133673047,15042.455528506613,14884.900780305945,15076.139155820465,15010.738051717637,15064.452797916729,14794.2234819695,15063.841360704411,15146.332031706701,15117.195836841158,14921.168091914791,14792.897003291444,15016.266504272968,14799.775182835661,14692.850597093382,15130.77902659145,14743.216866669613,14814.42988949902,15034.296579455728,15032.72663186149,14791.426444154187,14807.05614147224,15055.577722874203,14898.562655727319,14856.6429047032,14679.72602456627,15100.876033342316,2022-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_03_14,14991.393462746299,14795.604295957108,14790.360266700023,14915.562229102163,14994.602400996366,14843.503602207042,14994.115030612671,14941.55779259179,14881.532043626616,14756.623432609824,15038.396452054543,15013.365051444549,15083.527506231532,14800.272390687818,14815.618939422251,15009.005241024066,14743.780245089265,14761.771832499502,15104.794174800849,14772.210739855927,14811.991383259463,14939.70899061429,14906.671402926939,14817.506019795697,14775.910578735411,14926.666068653587,14798.649176382205,14857.149033160795,14757.872316930781,14996.012727053043,2022-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_03_22,14771.988017942593,14600.725095634023,14784.7540590323,,,14680.330624187258,14814.071055706596,14798.043587985381,14998.13423985521,14716.157400860913,14694.755141173853,,14831.7658399333,14795.96415595683,14627.479787019272,14745.156027405836,14795.879434556959,14518.463526804275,15083.70669635756,14679.252118546778,14734.28288187657,14787.199737932498,,14674.751903739003,14694.173300296286,14810.752251540522,14735.805360134005,14853.625216893044,14605.406905785932,14683.414058209773,2022-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_03_30,14997.726241410404,14661.356076577593,14827.153490963174,14975.788525410613,15001.411979052635,14832.194870870464,14958.424296661866,14885.801616848545,14951.934992454047,14842.909042220112,14961.089290660224,15075.70790562817,14904.250694698288,14882.164189740017,14738.399806010408,14914.472418767598,14752.340561622439,14648.867389624962,15108.878552298618,14749.005823630258,14803.913835820595,14977.235672681374,15006.073297348317,14777.620586556504,14807.586460915069,14938.234850044615,14866.556158198306,14814.677813816796,14736.648045849572,14916.023182436189,2022-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_04_07,15053.03244838655,14727.367765948942,14826.66274264903,15051.763346831069,14997.16832182719,14867.57464912987,14951.073771583806,14894.116829575529,14967.989287876951,14773.448575649036,15038.261758769551,15172.363831926496,14996.489377507069,14880.051147405953,14664.875829260798,14930.73562995848,14721.15186327898,14565.429787087141,15082.722872039298,14654.46565743316,14766.272833330322,15015.63026818809,15052.884140046597,14668.238637271705,14827.684045964184,14937.921797609855,14880.869440667077,14809.081390449439,14690.218062873553,14983.474353605288,2022-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_04_15,14899.083064817609,,,,14790.710095497952,,14858.512642817013,14853.11131847623,,14586.850704225353,14701.0,14884.0,14939.736777660617,14722.0,,14761.449921554735,,,14781.609040444093,,14593.511033049674,14881.189862968464,,14660.595808383236,14593.185770750988,14767.185873605948,,14617.774024679047,14619.612465682421,14808.662735849057,2022-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_04_23,14802.658938371404,14344.345154996745,,14923.608318890814,14921.935999736032,14760.67793652948,14843.96664684785,14910.73373379326,,,14918.20495372488,14919.18714979455,14810.791850073363,,14875.433333333332,14754.32897526502,14653.285768500942,14593.762987815644,14900.584307533894,14827.23076923077,14592.942849260902,,,14909.540210759844,14596.091560948706,,,14580.294959962315,14584.689670726206,14791.57815400481,2022-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_05_01,14874.688567531766,14657.407024072567,,14927.377944862155,14871.618938091013,14762.626671358195,14819.425030048078,14833.132900890028,,14622.032733351147,14917.632771184204,14940.608111389945,14919.908414796915,,,14794.937323674556,14665.34163773739,14526.292307692305,14940.592810301387,14512.134125235996,14712.562115903034,14871.51701841584,15068.712328767122,14751.800396444018,14746.795195656028,14810.448616600792,14832.191676436107,14780.356310208894,14629.92207151776,14846.806835103745,2022-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_05_09,14975.931859255365,14608.768573879115,14779.515412240957,14976.447050602334,14956.846445214389,14728.397914304254,14907.974883998875,14882.712112252031,14891.043671349185,14719.076069756231,14934.052337421095,15033.182326143324,14988.974317694978,14833.291533992306,14613.444960930337,14904.68078212796,14670.568519627586,14505.598052054997,14979.597986397655,14599.733354793916,14671.601291098297,14900.73390036453,14892.05357331922,14607.26941042965,14715.954625546172,14902.528327169432,14751.504416591399,14661.895918504682,14597.646125518952,14931.534429445877,2022-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_05_17,15111.90287954379,14588.000942729195,14767.872708277162,15064.009253229697,14988.369451597971,14842.432191828333,14957.192552105147,14925.626049320581,14983.437097063046,14598.778163910223,14983.88926223362,15210.628889888063,15083.848265265677,14756.10263539652,14652.791294765839,14994.660659306965,14672.246536436685,14569.187231963519,14986.56338405281,14759.33547581445,14640.546256924561,14952.981087119455,15022.389403460702,14766.989809100043,14635.126367668803,14956.516822968084,14790.351839739586,14516.271200161913,14615.136269612736,15048.180229896903,2022-05-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_05_25,14849.463126499482,14695.383820779556,14742.387706802887,14889.784785477043,14923.1265841442,14830.398597037469,14873.312886278467,14836.596428886874,14834.254832683802,14763.984180742,14938.286616164158,14942.264381778743,14978.794509648564,14764.468156652289,14601.64345725197,14851.178598977809,14612.045053813757,14595.70593970793,14987.768433651912,14623.735010791172,14733.812067557135,14859.384133320144,14845.239630594971,14693.412939147956,14687.773034374408,14839.648682089166,14816.26832592266,14725.62045940399,14678.37091137992,14835.376453220155,2022-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_06_02,14961.469624046902,14535.821549508648,14658.419529557405,14910.255818481912,14894.207385671865,14707.872715858291,14943.679767238884,14832.348750037325,14880.234580242088,14699.694588560442,14971.667831143464,15061.8187855122,15029.331966523065,14719.265790037658,14565.437405231705,14933.53907804802,14598.34654349197,14472.26942386061,14963.570392479294,14546.62468307739,14672.574946165765,14909.37941361918,14948.311510940892,14580.911222134948,14727.006550218333,14865.05393385023,14726.875098960043,14653.508651129196,14631.944800783282,14943.797743140201,2022-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_06_10,15098.41356965654,14652.227697933513,14796.707355364106,15015.720478638701,14986.500040532472,14793.662650941798,15008.022207934386,14928.472091554222,15026.994969372357,14784.937876824817,15061.474490320577,15116.586152874886,15115.733970517847,14875.686814215394,14616.400536615682,15038.594896755427,14711.316878400801,14524.352356887686,15066.00686349076,14667.461286023405,14749.592074276241,15005.912345729304,15011.008406335726,14727.108833560324,14740.749763956092,14997.707800675069,14823.422194843264,14775.120025980175,14707.747911764814,15044.72566016303,2022-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_06_18,15063.326752155184,14581.865333534475,14765.14220274709,15018.39637836116,14994.868790240753,14765.27790785122,14951.387880051672,14843.584390888616,14999.053266450988,14748.437644734238,15087.694299212215,15095.977646316085,15091.970897505751,14826.951673796379,14624.268965871277,15031.896944537,14662.506193010102,14556.068808537932,15078.858533790351,14603.577157244585,14734.221326506338,14966.626596530845,15012.037400819989,14683.036986602621,14633.82631765121,14960.840348303615,14756.527331868869,14758.457652698133,14640.680137775014,15053.444206685665,2022-06-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_06_26,15082.00653461797,14751.86581513776,14898.617303606397,15065.387087674599,15050.146467165006,14864.475415210809,14992.445039127444,14961.153036127082,15077.921463024883,14825.893577389123,15088.363964843156,15111.555521780821,15111.600409382803,14947.703686705505,14709.177852025095,15016.724170846568,14826.31631292461,14678.39372948796,15136.992271945946,14721.8789350667,14740.523001632371,15043.045648417003,15035.230687549778,14778.401240819003,14799.6848617176,15019.037072391617,14942.713165755815,14777.478259649351,14766.734989304734,15039.815469873145,2022-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_07_04,15189.138660221117,14882.317545819222,14945.167566278156,15142.838191000503,15175.918615705476,14993.569304843888,15114.048847029406,15045.875483844944,15125.9538661853,14897.979470801123,15194.40229338098,15197.148876470184,15212.600723022839,14975.671167607701,14811.515870364183,15139.23902941998,14885.320255363842,14768.07324794517,15260.969691346842,14815.522147333902,14831.414026156686,15105.602204158131,15105.887148629918,14844.933741507688,14901.875024587896,15117.554613460119,14994.673547347988,14837.69577942515,14813.222693882986,15159.039268442393,2022-07-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_07_12,15132.345870163928,14865.572932530766,14882.600905343867,15019.340961827193,15122.077527568215,14934.162819780246,15028.589547094854,14976.750598086106,15051.628994170394,14823.28503412344,15147.452588875063,15121.158206093489,15142.440532197625,14895.44546030978,14793.299201845177,15070.784501157164,14768.944101637577,14657.702141603608,15220.986307682591,14702.461852895163,14760.83508368568,15097.565278109132,15011.469840427108,14728.860530573274,14857.344142177111,15105.885962777864,14927.102556337151,14748.859544916782,14759.529527252242,15074.68811276267,2022-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_07_20,15222.851528742298,14941.583855780553,14982.402034804703,15147.031994176263,15221.229052694674,15043.29795415587,15156.317056782578,15063.149689532822,15180.335110821767,14897.869318830706,15239.353651282701,15230.11349872567,15262.099073936515,15028.092702074324,14910.574540594725,15202.99582158905,14907.351587077108,14800.207785135488,15305.306128815871,14813.665844605357,14829.707995406123,15164.271010200344,15128.439902073564,14836.928996286859,15025.158257602585,15194.898284887173,15024.877916660917,14858.112801247691,14820.425754887501,15220.190634089255,2022-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
